Timestamp,RTU11_SfSts,RTU11_SfVfd(%),RTU11_SpcTStairW(°F),RTU12_DmprStairE(%),RTU12_SpcTStairE(°F)
20-Feb-19 10:10:00 am,,33.99,65.83,0.00,66.64
25-Nov-18 3:55:00 am,,33.52,61.78,0.00,62.95
10-Apr-19 12:35:00 pm,,34.74,68.33,0.00,69.37
15-Apr-19 12:10:00 pm,,36.28,72.20,0.00,71.28
20-Dec-18 8:00:00 pm,,34.75,64.88,0.00,67.42
20-Feb-19 10:30:01 pm,,34.75,62.68,0.00,66.09
08-Dec-18 9:10:00 am,,34.21,60.02,0.00,62.01
08-Feb-19 4:20:00 am,,33.82,56.76,0.00,62.75
07-Mar-19 3:25:00 pm,,35.77,71.75,0.00,69.40
21-Mar-19 4:10:00 pm,,44.68,71.85,0.00,70.66
13-Dec-18 8:45:00 pm,,32.33,63.83,0.00,66.01
10-Dec-18 7:35:00 pm,,32.40,60.52,0.00,64.19
10-Feb-19 2:45:00 pm,,34.68,59.23,0.00,58.27
14-Mar-19 9:20:00 pm,,34.98,66.78,0.00,67.44
22-Apr-19 3:20:00 am,,34.29,71.33,0.00,71.23
26-Nov-18 4:15:00 pm,,35.25,65.44,0.00,66.42
05-Mar-19 10:20:00 pm,,32.30,58.79,0.00,64.83
16-Feb-19 1:10:01 pm,,,,0.00,62.07
19-Jan-19 7:20:00 am,,31.48,55.64,0.00,58.26
08-Apr-19 1:15:00 pm,,76.42,72.36,0.64,71.45
09-Nov-18 10:05:00 pm,,35.69,60.81,0.00,63.88
10-Feb-19 7:10:00 pm,,33.58,57.68,0.00,58.08
29-Mar-19 5:45:01 pm,,86.75,72.55,0.00,69.09
25-Dec-18 8:05:00 am,,34.43,59.50,0.00,62.57
14-Nov-18 6:00:00 pm,,34.84,66.37,0.00,67.74
08-May-19 10:50:00 pm,,33.65,69.06,0.00,69.08
16-Feb-19 4:10:00 pm,,32.71,63.26,0.00,61.90
08-Feb-19 1:00:00 pm,,44.36,64.10,0.00,66.38
12-May-19 10:20:00 pm,,34.00,70.63,0.00,75.69
08-Dec-18 4:45:00 am,,33.99,59.21,0.00,61.98
09-Nov-18 2:00:00 am,,34.28,60.68,0.00,63.73
12-Jan-19 6:40:00 am,,35.70,61.53,,
30-Dec-18 2:00:00 am,,34.33,57.86,0.00,59.63
13-May-19 6:05:00 pm,,74.43,78.48,3.98,72.17
24-Jan-19 12:55:00 am,,35.09,60.64,0.00,63.36
29-Jan-19 12:30:00 am,,34.69,55.87,0.00,61.13
26-Mar-19 1:15:01 am,,33.57,67.60,0.00,68.69
29-Apr-19 12:05:00 am,,35.47,69.88,0.00,71.87
09-May-19 2:20:00 am,,32.18,68.45,0.00,68.52
20-Dec-18 12:05:00 am,,34.77,65.33,0.00,66.95
06-Jan-19 10:15:00 pm,,36.06,63.47,0.00,63.43
21-Nov-18 10:10:00 pm,,34.47,62.01,0.00,64.78
02-May-19 1:40:00 am,,35.38,69.15,0.00,68.98
17-Apr-19 4:40:00 pm,,36.19,70.74,0.00,69.84
09-Jan-19 8:55:00 pm,,35.02,,,
05-Mar-19 2:30:00 pm,,34.01,68.50,0.00,67.66
06-Jan-19 4:25:00 am,,35.30,62.85,,
08-Feb-19 10:05:00 am,,36.90,57.87,0.00,65.35
17-Nov-18 5:10:00 am,,33.61,62.05,0.00,64.03
27-Nov-18 12:45:00 am,,33.88,61.35,0.00,62.68
09-Jan-19 12:05:00 pm,,53.01,66.99,,
01-Mar-19 6:25:00 pm,,33.46,62.02,0.00,65.21
08-Dec-18 4:45:00 pm,,32.33,60.34,0.00,61.77
29-Jan-19 8:05:00 am,,35.12,56.45,0.00,59.91
19-Dec-18 11:05:00 am,,36.27,66.97,0.00,68.21
20-Feb-19 4:30:00 pm,,34.80,68.03,0.00,67.79
25-Feb-19 6:35:00 am,,32.59,58.74,0.00,62.58
08-Mar-19 3:40:00 am,,35.88,63.18,0.00,65.63
22-Jan-19 4:05:00 am,,35.23,56.95,0.00,58.85
24-Apr-19 10:10:00 pm,,62.22,72.01,7.75,72.53
08-Feb-19 1:00:00 am,,34.70,58.34,0.00,63.60
02-Apr-19 10:00:01 pm,,35.02,67.85,0.00,68.83
02-Mar-19 1:20:00 am,,32.54,59.10,0.00,64.01
13-Jan-19 11:30:00 pm,,33.40,61.25,0.00,62.24
02-Mar-19 6:40:00 pm,,33.07,57.55,0.00,63.22
06-May-19 1:10:00 pm,,69.91,72.22,27.09,71.45
08-Feb-19 10:05:00 pm,,31.25,56.61,0.00,63.47
15-May-19 3:35:00 am,,100.00,73.26,100.00,73.81
30-Jan-19 2:30:00 am,,34.42,52.73,0.00,55.94
27-Nov-18 1:10:00 pm,,35.55,64.36,0.00,65.50
14-Dec-18 12:30:00 pm,,53.84,70.87,0.00,68.98
01-Mar-19 12:30:00 pm,,35.39,63.91,0.00,65.72
10-Nov-18 11:05:00 pm,,32.54,58.17,0.00,59.26
30-Nov-18 9:00:00 pm,,33.00,63.46,0.00,66.11
16-Dec-18 4:35:00 am,,33.59,62.72,0.00,64.28
11-Apr-19 7:40:00 pm,,33.24,65.92,0.00,67.04
05-Feb-19 11:35:00 pm,,35.47,59.88,0.00,63.98
23-Feb-19 5:40:00 am,,33.98,62.18,0.00,64.01
22-Feb-19 5:25:00 pm,,34.79,67.50,0.00,67.90
22-Jan-19 4:25:01 pm,,34.45,61.77,0.00,64.20
17-Feb-19 6:45:00 pm,,35.18,61.23,0.00,60.49
03-Feb-19 1:15:00 am,,35.97,62.72,0.00,62.77
24-Feb-19 11:20:00 am,,38.55,62.93,0.00,65.63
18-Apr-19 9:40:00 am,,32.64,70.35,0.00,69.94
06-Apr-19 3:40:00 am,,32.49,68.69,0.00,68.85
23-Nov-18 3:05:00 pm,,36.39,65.63,0.00,67.23
